City,Price,Day,Room Type,Shared Room,Private Room,Person Capacity,Superhost,Multiple Rooms,Business,Cleanliness Rating,Guest Satisfaction,Bedrooms,City Center (km),Metro Distance (km),Attraction Index,Normalised Attraction Index,Restraunt Index,Normalised Restraunt Index
Amsterdam,194.03369812293488,Weekday,Private room,False,True,2.0,False,1,0,10.0,93.0,1,5.022963798088291,2.539380002594493,78.69037927190317,4.166707868490748,98.25389587009934,6.846472824200016
Amsterdam,344.2457760176224,Weekday,Private room,False,True,4.0,False,0,0,8.0,85.0,1,0.4883892888289836,0.2394039228349863,631.1763782503964,33.421208615275404,837.2807567422693,58.34292774344904
Amsterdam,264.1014224451058,Weekday,Private room,False,True,2.0,False,0,1,9.0,87.0,1,5.748311915159562,3.651621288793656,75.27587691428164,3.9859076998790086,95.3869549262145,6.646700254501156
Amsterdam,433.5293979799874,Weekday,Private room,False,True,4.0,False,0,1,9.0,90.0,2,0.384862012821602,0.4398760761319157,493.27253443070873,26.11910845442667,875.0330975776227,60.97356516795285
Amsterdam,485.5529257375859,Weekday,Private room,False,True,2.0,True,0,0,10.0,98.0,1,0.5447381834292384,0.3186926468416831,552.8303243593364,29.272733004488263,815.3057399687838,56.81167695874816
Amsterdam,552.808567478265,Weekday,Private room,False,True,3.0,False,0,0,8.0,100.0,2,2.13142008057136,1.904668241410844,174.7889567505081,9.255191398952537,225.20166237399388,15.69237583664536
Amsterdam,215.12431748412348,Weekday,Private room,False,True,2.0,False,0,0,10.0,94.0,1,1.8810915643710744,0.7297467390303181,200.1676516320246,10.599010155873913,242.76552365826512,16.91625096043449
Amsterdam,2771.3073840601787,Weekday,Entire home/apt,False,False,4.0,True,0,0,10.0,100.0,3,1.6868069652027278,1.4584035662283186,208.80810858545348,11.056528092733858,272.31382294091856,18.975218966216943
Amsterdam,1001.8044196564572,Weekday,Entire home/apt,False,False,4.0,False,0,0,9.0,96.0,2,3.719141398657261,1.1961123528716675,106.22645621714616,5.624761439165013,133.87620194208236,9.328686361865822
Amsterdam,276.52145384669467,Weekday,Private room,False,True,2.0,False,1,0,10.0,88.0,1,3.142361425629701,0.9244044386046626,206.2528615435097,10.921226064021864,238.29125778441968,16.604477677123384
Amsterdam,909.4743748974762,Weekday,Entire home/apt,False,False,2.0,False,0,0,10.0,96.0,1,1.0099220248634968,0.9171150679278918,409.8581244623681,21.7022600216641,555.1142756474727,38.68116138184085
Amsterdam,319.6400534295691,Weekday,Private room,False,True,2.0,True,1,0,10.0,97.0,1,2.182707104451588,1.590381362751412,191.50133917980733,10.140123153173365,229.29740063380305,15.977772771214685
Amsterdam,675.6028402034074,Weekday,Entire home/apt,False,False,4.0,False,0,0,8.0,87.0,1,2.9330458432919566,0.6280730466725806,214.9233419303541,11.380333761630316,269.6249040166742,18.7878512269707
